纬度,日期,时间,经度,海拔,速度,地面航向
4048.2,100517,'014031,11141.437,1070,000.0,340.9
4048.2,100517,'014032,11141.437,1070,000.0,340.9
4048.2,100517,'014034,11141.437,1070,000.0,340.9
4048.2,100517,'014034,11141.437,1070,000.0,340.9
4048.2,100517,'014035,11141.437,1070,000.0,340.9
4048.2,100517,'014036,11141.437,1070,000.0,340.9
4048.2,100517,'014037,11141.436,1070,000.0,340.9
4048.2,100517,'014038,11141.436,1070,000.0,340.9
4048.2,100517,'014039,11141.436,1070,000.0,340.9
4048.2,100517,'014040,11141.436,1070,000.0,340.9
4048.2,100517,'014041,11141.436,1070,002.6,340.9
4048.2,100517,'014042,11141.435,1070,003.8,239.1
4048.2,100517,'014043,11141.434,1069,004.6,203.6
4048.2,100517,'014044,11141.433,1069,005.5,178.3
4048.2,100517,'014045,11141.434,1068,008.5,156.6
4048.2,100517,'014046,11141.436,1068,009.6,153.1
4048.2,100517,'014047,11141.437,1067,010.5,155.3
4048.2,100517,'014048,11141.439,1066,011.4,156.6
4048.2,100517,'014049,11141.440,1065,012.1,158.3
4048.2,100517,'014050,11141.442,1065,013.0,160.0
4048.2,100517,'014051,11141.444,1064,013.4,160.3
4048.2,100517,'014052,11141.445,1064,013.7,161.5
